col0xcol1xcol2xcol3xcol4xcol5xcol6xcol7xcol8xcol9xcol10xcol11xcol12xcol13xcol14xcol15xcol16xcol17
policyIDxstatecodexcountyxeq_site_limitxhu_site_limitxfl_site_limitxfr_site_limitxtiv_2011xtiv_2012xeq_site_deductiblexhu_site_deductiblexfl_site_deductiblexfr_site_deductiblexpoint_latitudexpoint_longitudexlinexconstructionxpoint_granularity
119736xFLxCLAY COUNTYx498960x498960x498960x498960x498960x792148.9x0x9979.2x0x0x30.102261x-81.711777xResidentialxMasonryx1
448094xFLxCLAY COUNTYx1322376.3x1322376.3x1322376.3x1322376.3x1322376.3x1438163.57x0x0x0x0x30.063936x-81.707664xResidentialxMasonryx3
206893xFLxCLAY COUNTYx190724.4x190724.4x190724.4x190724.4x190724.4x192476.78x0x0x0x0x30.089579x-81.700455xResidentialxWoodx1
333743xFLxCLAY COUNTYx0x79520.76x0x0x79520.76x86854.48x0x0x0x0x30.063236x-81.707703xResidentialxWoodx3
172534xFLxCLAY COUNTYx0x254281.5x0x254281.5x254281.5x246144.49x0x0x0x0x30.060614x-81.702675xResidentialxWoodx1
785275xFLxCLAY COUNTYx0x515035.62x0x0x515035.62x884419.17x0x0x0x0x30.063236x-81.707703xResidentialxMasonryx3
995932xFLxCLAY COUNTYx0x19260000x0x0x19260000x20610000x0x0x0x0x30.102226x-81.713882xCommercialxReinforced Concretex1
223488xFLxCLAY COUNTYx328500x328500x328500x328500x328500x348374.25x0x16425x0x0x30.102217x-81.707146xResidentialxWoodx1
433512xFLxCLAY COUNTYx315000x315000x315000x315000x315000x265821.57x0x15750x0x0x30.118774x-81.704613xResidentialxWoodx1
142071xFLxCLAY COUNTYx705600x705600x705600x705600x705600x1010842.56x14112x35280x0x0x30.100628x-81.703751xResidentialxMasonryx1
253816xFLxCLAY COUNTYx831498.3x831498.3x831498.3x831498.3x831498.3x1117791.48x0x0x0x0x30.10216x-81.719444xResidentialxMasonryx1
894922xFLxCLAY COUNTYx0x24059.09x0x0x24059.09x33952.19x0x0x0x0x30.095957x-81.695099xResidentialxWoodx1
422834xFLxCLAY COUNTYx0x48115.94x0x0x48115.94x66755.39x0x0x0x0x30.100073x-81.739822xResidentialxWoodx1
582721xFLxCLAY COUNTYx0x28869.12x0x0x28869.12x42826.99x0x0x0x0x30.09248x-81.725167xResidentialxWoodx1
842700xFLxCLAY COUNTYx0x56135.64x0x0x56135.64x50656.8x0x0x0x0x30.101356x-81.726248xResidentialxWoodx1
874333xFLxCLAY COUNTYx0x48115.94x0x0x48115.94x67905.07x0x0x0x0x30.113743x-81.727463xResidentialxWoodx1
580146xFLxCLAY COUNTYx0x48115.94x0x0x48115.94x66938.9x0x0x0x0x30.121655x-81.732391xResidentialxWoodx3
456149xFLxCLAY COUNTYx0x80192.49x0x0x80192.49x86421.04x0x0x0x0x30.109537x-81.741661xResidentialxWoodx1
